정제역명,지하철_총하차,위도,경도,주변_버스_하차,주변_상가_수,총_유입_인구,혼잡_가성비_지수
안암,436032,37.5860922265054,127.029371803828,500298.910034945,471,936330.910034945,5.030267525352434
삼양사거리,85746,37.6213109717103,127.020236583853,525750.760796891,306,611496.760796891,5.00410663157993
문래,680809,37.5187381167293,126.894947426945,341638.93762910884,508,1022447.9376291088,4.968463277764938
망우,234066,37.5992354426837,127.091260957504,550785.6838178512,381,784851.6838178512,4.85441418313889
둔촌동,404729,37.5276413733277,127.136190298465,470984.84631709906,424,875713.846317099,4.841758727548948
신사,796588,37.5196722763952,127.018751560774,551779.9815855504,652,1348367.9815855504,4.835471661720604
방학,307511,37.6659266659282,127.044415235348,427695.94073777896,355,735206.940737779,4.828565910805568
삼양,81070,37.6269388770237,127.018147722994,291445.7766414335,176,372515.7766414335,4.724619427527395
양천향교,322786,37.5686893763579,126.840744761831,183379.25495566122,238,506165.25495566125,4.7020123856508
상왕십리,423939,37.5639741407738,127.029808505842,526817.9795636096,446,950756.9795636096,4.69099402357591
서원,96180,37.4780091,126.9323984,343941.78991070867,206,440121.78991070867,4.680512000793981
도봉,174221,37.6752042341804,127.044897876158,249796.79310087918,197,424017.7931008792,4.646020487896897
서울대벤처타운,283165,37.4710566,126.9337724,656368.501567039,436,939533.501567039,4.640595946958845
용두,67245,37.5739418124856,127.038653729089,397055.1410484187,214,464300.1410484187,4.609077623991526
서울지방병무청,104261,37.4997,126.9266,618398.198661985,333,722659.198661985,4.607974821590479
이수,505809,37.4880715589179,126.982278960848,802530.1504438807,602,1308339.1504438808,4.601249910397991
명일,249543,37.5512602756216,127.144000929119,469160.0206132091,328,718703.0206132091,4.563770211277592
송파,291176,37.4997605091973,127.112230554691,368147.650832871,298,659323.650832871,4.519776404894932
역삼,1415661,37.5012493916368,127.038331573474,595939.4267780491,907,2011600.4267780492,4.50884547965711
보라매공원,81214,37.4958229,126.9178162,307277.3164213252,173,388491.3164213252,4.453112524685794
